Block part1 rand
Wachs Dachs PHON
Baer Dachs CAT+ASS
Kamm Dachs NONE
Dachs Dachs IDEN
Puppe Suppe PHON
Zwiebel Suppe CAT+ASS
Hammer Suppe NONE
Suppe Suppe IDEN
Kuh Schuh PHON
Kleid Schuh CAT+ASS
Nest Schuh NONE
Schuh Schuh IDEN
Bauch Lauch PHON
Kohl Lauch CAT+ASS
Schiff Lauch NONE
Lauch Lauch IDEN
Schornstein Schwein PHON
Ziege Schwein CAT+ASS
Pfanne Schwein NONE
Schwein Schwein IDEN
Schraube Traube PHON
Apfel Traube CAT+ASS
Fussball Traube NONE
Traube Traube IDEN
Topf Knopf PHON
Hemd Knopf CAT+ASS
Gras Knopf NONE
Knopf Knopf IDEN
Eis Reis PHON
Mehl Reis CAT+ASS
Horn Reis NONE
Reis Reis IDEN
Schwert Pferd PHON
Hirsch Pferd CAT+ASS
Zahn Pferd NONE
Pferd Pferd IDEN
Tisch Fisch PHON
Hund Fisch CAT+ASS
Brot Fisch NONE
Fisch Fisch IDEN
Klee Tee PHON
Bier Tee CAT+ASS
Maus Tee NONE
Tee Tee IDEN
Rose Hose PHON
Anzug Hose CAT+ASS
Fahrrad Hose NONE
Hose Hose IDEN
Pantoffel Kartoffel PHON
Schnitzel Kartoffel CAT+ASS
Pelikan Kartoffel NONE
Kartoffel Kartoffel IDEN
Pedal Wal PHON
Otter Wal CAT+ASS
Gurke Wal NONE
Wal Wal IDEN
Bein Wein PHON
Saft Wein CAT+ASS
Zelt Wein NONE
Wein Wein IDEN
Schnee Kaffee PHON
Milch Kaffee CAT+ASS
Hut Kaffee NONE
Kaffee Kaffee IDEN
Schlagzeug Flugzeug PHON
Ballon Flugzeug CAT+ASS
Affe Flugzeug NONE
Flugzeug Flugzeug IDEN
Schwan Strassenbahn PHON
Bus Strassenbahn CAT+ASS
Huhn Strassenbahn NONE
Strassenbahn Strassenbahn IDEN
Tapete Rakete PHON
Hubschrauber Rakete CAT+ASS
Elefant Rakete NONE
Rakete Rakete IDEN
Flasche Tasche PHON
Stiefel Tasche CAT+ASS
Löffel Tasche NONE
Tasche Tasche IDEN
Wachs Dachs PHON
Baer Dachs CAT+ASS
Kamm Dachs NONE
Dachs Dachs IDEN
Puppe Suppe PHON
Zwiebel Suppe CAT+ASS
Hammer Suppe NONE
Suppe Suppe IDEN
Kuh Schuh PHON
Kleid Schuh CAT+ASS
Nest Schuh NONE
Schuh Schuh IDEN
Bauch Lauch PHON
Kohl Lauch CAT+ASS
Schiff Lauch NONE
Lauch Lauch IDEN
Schornstein Schwein PHON
Ziege Schwein CAT+ASS
Pfanne Schwein NONE
Schwein Schwein IDEN
Schraube Traube PHON
Apfel Traube CAT+ASS
Fussball Traube NONE
Traube Traube IDEN
Topf Knopf PHON
Hemd Knopf CAT+ASS
Gras Knopf NONE
Knopf Knopf IDEN
Eis Reis PHON
Mehl Reis CAT+ASS
Horn Reis NONE
Reis Reis IDEN
Schwert Pferd PHON
Hirsch Pferd CAT+ASS
Zahn Pferd NONE
Pferd Pferd IDEN
Tisch Fisch PHON
Hund Fisch CAT+ASS
Brot Fisch NONE
Fisch Fisch IDEN
Klee Tee PHON
Bier Tee CAT+ASS
Maus Tee NONE
Tee Tee IDEN
Rose Hose PHON
Anzug Hose CAT+ASS
Fahrrad Hose NONE
Hose Hose IDEN
Pantoffel Kartoffel PHON
Schnitzel Kartoffel CAT+ASS
Pelikan Kartoffel NONE
Kartoffel Kartoffel IDEN
Pedal Wal PHON
Otter Wal CAT+ASS
Gurke Wal NONE
Wal Wal IDEN
Bein Wein PHON
Saft Wein CAT+ASS
Zelt Wein NONE
Wein Wein IDEN
Schnee Kaffee PHON
Milch Kaffee CAT+ASS
Hut Kaffee NONE
Kaffee Kaffee IDEN
Schlagzeug Flugzeug PHON
Ballon Flugzeug CAT+ASS
Affe Flugzeug NONE
Flugzeug Flugzeug IDEN
Schwan Strassenbahn PHON
Bus Strassenbahn CAT+ASS
Huhn Strassenbahn NONE
Strassenbahn Strassenbahn IDEN
Tapete Rakete PHON
Hubschrauber Rakete CAT+ASS
Elefant Rakete NONE
Rakete Rakete IDEN
Flasche Tasche PHON
Stiefel Tasche CAT+ASS
Löffel Tasche NONE
Tasche Tasche IDEN
Wachs Dachs PHON
Baer Dachs CAT+ASS
Kamm Dachs NONE
Dachs Dachs IDEN
Puppe Suppe PHON
Zwiebel Suppe CAT+ASS
Hammer Suppe NONE
Suppe Suppe IDEN
Kuh Schuh PHON
Kleid Schuh CAT+ASS
Nest Schuh NONE
Schuh Schuh IDEN
Bauch Lauch PHON
Kohl Lauch CAT+ASS
Schiff Lauch NONE
Lauch Lauch IDEN
Schornstein Schwein PHON
Ziege Schwein CAT+ASS
Pfanne Schwein NONE
Schwein Schwein IDEN
Schraube Traube PHON
Apfel Traube CAT+ASS
Fussball Traube NONE
Traube Traube IDEN
Topf Knopf PHON
Hemd Knopf CAT+ASS
Gras Knopf NONE
Knopf Knopf IDEN
Eis Reis PHON
Mehl Reis CAT+ASS
Horn Reis NONE
Reis Reis IDEN
Schwert Pferd PHON
Hirsch Pferd CAT+ASS
Zahn Pferd NONE
Pferd Pferd IDEN
Tisch Fisch PHON
Hund Fisch CAT+ASS
Brot Fisch NONE
Fisch Fisch IDEN
Klee Tee PHON
Bier Tee CAT+ASS
Maus Tee NONE
Tee Tee IDEN
