cue,target,condition,occurence
Horn,Reis,NONE,1
Hammer,Suppe,NONE,1
Topf,Knopf,PHON,1
Schlagzeug,Flugzeug,PHON,1
Huhn,Strassenbahn,NONE,1
Wein,Wein,IDEN,1
Anzug,Hose,CAT+ASS,1
Bauch,Lauch,PHON,1
Dachs,Dachs,IDEN,1
Kleid,Schuh,CAT+ASS,1
Stiefel,Tasche,CAT+ASS,1
Pantoffel,Kartoffel,PHON,1
Schwan,Strassenbahn,PHON,2
Pfanne,Schwein,NONE,1
Rose,Hose,PHON,2
Schnee,Kaffee,PHON,1
Fisch,Fisch,IDEN,1
Bauch,Lauch,PHON,2
Löffel,Tasche,NONE,2
Wachs,Dachs,PHON,2
Strassenbahn,Strassenbahn,IDEN,3
Tapete,Rakete,PHON,1
Knopf,Knopf,IDEN,2
Schwert,Pferd,PHON,1
Brot,Fisch,NONE,2
Lauch,Lauch,IDEN,3
Tasche,Tasche,IDEN,3
Kamm,Dachs,NONE,3
Otter,Wal,CAT+ASS,1
Schraube,Traube,PHON,1
Klee,Tee,PHON,1
Ziege,Schwein,CAT+ASS,2
Hund,Fisch,CAT+ASS,3
Pferd,Pferd,IDEN,2
Flasche,Tasche,PHON,4
Milch,Kaffee,CAT+ASS,2
Gurke,Wal,NONE,2
Schiff,Lauch,NONE,4
Klee,Tee,PHON,2
Elefant,Rakete,NONE,2
Tisch,Fisch,PHON,4
Kleid,Schuh,CAT+ASS,2
Tasche,Tasche,IDEN,5
Dachs,Dachs,IDEN,4
Apfel,Traube,CAT+ASS,2
Horn,Reis,NONE,2
Fahrrad,Hose,NONE,3
Tee,Tee,IDEN,3
Pelikan,Kartoffel,NONE,2
Schuh,Schuh,IDEN,3
Zelt,Wein,NONE,2
Baer,Dachs,CAT+ASS,5
Traube,Traube,IDEN,3
Ballon,Flugzeug,CAT+ASS,2
Schwan,Strassenbahn,PHON,4
Schnee,Kaffee,PHON,3
Tee,Tee,IDEN,4
Schuh,Schuh,IDEN,4
Gurke,Wal,NONE,3
Puppe,Suppe,PHON,2
Traube,Traube,IDEN,4
Kohl,Lauch,CAT+ASS,5
Affe,Flugzeug,NONE,3
Fahrrad,Hose,NONE,4
Bier,Tee,CAT+ASS,5
Zahn,Pferd,NONE,3
Otter,Wal,CAT+ASS,4
Puppe,Suppe,PHON,3
Schraube,Traube,PHON,5
Stiefel,Tasche,CAT+ASS,6
Schornstein,Schwein,PHON,3
Tisch,Fisch,PHON,5
Flugzeug,Flugzeug,IDEN,4
Schwert,Pferd,PHON,4
Pedal,Wal,PHON,5
Hammer,Suppe,NONE,4
Kuh,Schuh,PHON,5
Huhn,Strassenbahn,NONE,5
Schwein,Schwein,IDEN,4
Hund,Fisch,CAT+ASS,6
Gras,Knopf,NONE,3
Wein,Wein,IDEN,3
Wal,Wal,IDEN,6
Elefant,Rakete,NONE,3
Hose,Hose,IDEN,5
Bus,Strassenbahn,CAT+ASS,6
Lauch,Lauch,IDEN,6
Kuh,Schuh,PHON,6
Zwiebel,Suppe,CAT+ASS,5
Saft,Wein,CAT+ASS,4
Wal,Wal,IDEN,7
Schwein,Schwein,IDEN,5
Löffel,Tasche,NONE,7
Topf,Knopf,PHON,4
Wachs,Dachs,PHON,6
Schiff,Lauch,NONE,7
Suppe,Suppe,IDEN,6
Kartoffel,Kartoffel,IDEN,3
Zahn,Pferd,NONE,5
Ziege,Schwein,CAT+ASS,6
Rakete,Rakete,IDEN,4
Hose,Hose,IDEN,6
Bier,Tee,CAT+ASS,6
Kaffee,Kaffee,IDEN,4
Suppe,Suppe,IDEN,7
Apfel,Traube,CAT+ASS,6
Hirsch,Pferd,CAT+ASS,6
Schornstein,Schwein,PHON,7
Reis,Reis,IDEN,3
Rakete,Rakete,IDEN,5
Saft,Wein,CAT+ASS,5
Kaffee,Kaffee,IDEN,5
Knopf,Knopf,IDEN,5
Pedal,Wal,PHON,8
Pferd,Pferd,IDEN,7
Schlagzeug,Flugzeug,PHON,5
Mehl,Reis,CAT+ASS,4
Hubschrauber,Rakete,CAT+ASS,6
Brot,Fisch,NONE,7
Pelikan,Kartoffel,NONE,4
Hemd,Knopf,CAT+ASS,6
Baer,Dachs,CAT+ASS,7
Maus,Tee,NONE,7
Affe,Flugzeug,NONE,6
Reis,Reis,IDEN,5
Bein,Wein,PHON,6
Hubschrauber,Rakete,CAT+ASS,7
Schnitzel,Kartoffel,CAT+ASS,5
Strassenbahn,Strassenbahn,IDEN,7
Pfanne,Schwein,NONE,8
Maus,Tee,NONE,8
Ballon,Flugzeug,CAT+ASS,7
Eis,Reis,PHON,6
Anzug,Hose,CAT+ASS,7
Gras,Knopf,NONE,7
Pantoffel,Kartoffel,PHON,6
Tapete,Rakete,PHON,8
Fussball,Traube,NONE,7
Flasche,Tasche,PHON,8
Flugzeug,Flugzeug,IDEN,8
Eis,Reis,PHON,7
Kohl,Lauch,CAT+ASS,8
Milch,Kaffee,CAT+ASS,6
Kartoffel,Kartoffel,IDEN,7
Nest,Schuh,NONE,7
Hemd,Knopf,CAT+ASS,8
Bein,Wein,PHON,7
Hirsch,Pferd,CAT+ASS,8
Mehl,Reis,CAT+ASS,8
Rose,Hose,PHON,8
Hut,Kaffee,NONE,7
Schnitzel,Kartoffel,CAT+ASS,8
Nest,Schuh,NONE,8
Fisch,Fisch,IDEN,8
Zelt,Wein,NONE,8
Kamm,Dachs,NONE,8
Zwiebel,Suppe,CAT+ASS,8
Bus,Strassenbahn,CAT+ASS,8
Hut,Kaffee,NONE,8
Fussball,Traube,NONE,8
