Traube	Traube	IDEN	1
Lauch	Lauch	IDEN	1
Schnitzel	Kartoffel	CAT+ASS	1
Ballon	Flugzeug	CAT+ASS	1
Nest	Schuh	NONE	1
Hirsch	Pferd	CAT+ASS	1
Ziege	Schwein	CAT+ASS	1
Strassenbahn	Strassenbahn	IDEN	1
Schraube	Traube	PHON	2
Hemd	Knopf	CAT+ASS	1
Puppe	Suppe	PHON	1
Tasche	Tasche	IDEN	1
Flugzeug	Flugzeug	IDEN	2
Horn	Reis	NONE	1
Tisch	Fisch	PHON	1
Fahrrad	Hose	NONE	1
Schiff	Lauch	NONE	2
Knopf	Knopf	IDEN	2
Ziege	Schwein	CAT+ASS	2
Kleid	Schuh	CAT+ASS	2
Elefant	Rakete	NONE	1
Puppe	Suppe	PHON	2
Tisch	Fisch	PHON	2
Hose	Hose	IDEN	2
Schiff	Lauch	NONE	3
Gras	Knopf	NONE	3
Mehl	Reis	CAT+ASS	2
Zahn	Pferd	NONE	2
Stiefel	Tasche	CAT+ASS	2
Gurke	Wal	NONE	1
Pelikan	Kartoffel	NONE	2
Traube	Traube	IDEN	3
Elefant	Rakete	NONE	2
Knopf	Knopf	IDEN	4
Reis	Reis	IDEN	3
Schlagzeug	Flugzeug	PHON	3
Löffel	Tasche	NONE	3
Milch	Kaffee	CAT+ASS	1
Nest	Schuh	NONE	3
Traube	Traube	IDEN	4
Suppe	Suppe	IDEN	3
Topf	Knopf	PHON	5
Eis	Reis	PHON	4
Saft	Wein	CAT+ASS	1
Flasche	Tasche	PHON	4
Huhn	Strassenbahn	NONE	2
Kamm	Dachs	NONE	1
Schnee	Kaffee	PHON	2
Suppe	Suppe	IDEN	4
Gras	Knopf	NONE	6
Rose	Hose	PHON	3
Bier	Tee	CAT+ASS	1
Apfel	Traube	CAT+ASS	5
Zahn	Pferd	NONE	3
Bus	Strassenbahn	CAT+ASS	3
Otter	Wal	CAT+ASS	2
Affe	Flugzeug	NONE	4
Hubschrauber	Rakete	CAT+ASS	3
Hose	Hose	IDEN	4
Maus	Tee	NONE	2
Fussball	Traube	NONE	6
Pferd	Pferd	IDEN	4
Baer	Dachs	CAT+ASS	2
Bus	Strassenbahn	CAT+ASS	4
Bauch	Lauch	PHON	4
Ballon	Flugzeug	CAT+ASS	5
Hund	Fisch	CAT+ASS	3
Kuh	Schuh	PHON	4
Tapete	Rakete	PHON	4
Schnitzel	Kartoffel	CAT+ASS	3
Wachs	Dachs	PHON	3
Schwein	Schwein	IDEN	3
Kohl	Lauch	CAT+ASS	5
Fahrrad	Hose	NONE	5
Gras	Knopf	NONE	7
Wal	Wal	IDEN	3
Schraube	Traube	PHON	7
Pantoffel	Kartoffel	PHON	4
Maus	Tee	NONE	3
Baer	Dachs	CAT+ASS	4
Stiefel	Tasche	CAT+ASS	5
Zelt	Wein	NONE	2
Hund	Fisch	CAT+ASS	4
Pedal	Wal	PHON	4
Schuh	Schuh	IDEN	5
Pelikan	Kartoffel	NONE	5
Hammer	Suppe	NONE	5
Klee	Tee	PHON	4
Lauch	Lauch	IDEN	6
Affe	Flugzeug	NONE	6
Pfanne	Schwein	NONE	4
Wal	Wal	IDEN	5
Nest	Schuh	NONE	6
Schnitzel	Kartoffel	CAT+ASS	6
Zwiebel	Suppe	CAT+ASS	6
Klee	Tee	PHON	5
Milch	Kaffee	CAT+ASS	3
Schlagzeug	Flugzeug	PHON	7
Schornstein	Schwein	PHON	5
Saft	Wein	CAT+ASS	3
Tisch	Fisch	PHON	5
Kartoffel	Kartoffel	IDEN	7
Pedal	Wal	PHON	6
Kamm	Dachs	NONE	5
Milch	Kaffee	CAT+ASS	4
Tasche	Tasche	IDEN	6
Schwert	Pferd	PHON	5
Zelt	Wein	NONE	4
Tapete	Rakete	PHON	5
Klee	Tee	PHON	6
Otter	Wal	CAT+ASS	7
Eis	Reis	PHON	5
Affe	Flugzeug	NONE	8
Pfanne	Schwein	NONE	6
Schraube	Traube	PHON	8
Wachs	Dachs	PHON	6
Hirsch	Pferd	CAT+ASS	6
Topf	Knopf	PHON	8
Bier	Tee	CAT+ASS	7
Kuh	Schuh	PHON	7
Lauch	Lauch	IDEN	7
Suppe	Suppe	IDEN	7
Löffel	Tasche	NONE	7
Schwein	Schwein	IDEN	7
Gurke	Wal	NONE	8
Knopf	Knopf	IDEN	9
Maus	Tee	NONE	8
Kleid	Schuh	CAT+ASS	8
Huhn	Strassenbahn	NONE	5
Brot	Fisch	NONE	6
Flasche	Tasche	PHON	8
Kamm	Dachs	NONE	7
Ziege	Schwein	CAT+ASS	8
Hemd	Knopf	CAT+ASS	10
Wein	Wein	IDEN	5
Bier	Tee	CAT+ASS	9
Kuh	Schuh	PHON	9
Tisch	Fisch	PHON	7
Hubschrauber	Rakete	CAT+ASS	6
Baer	Dachs	CAT+ASS	8
Pfanne	Schwein	NONE	9
Hemd	Knopf	CAT+ASS	11
Milch	Kaffee	CAT+ASS	5
Bein	Wein	PHON	6
Mehl	Reis	CAT+ASS	6
Bus	Strassenbahn	CAT+ASS	6
Elefant	Rakete	NONE	7
Klee	Tee	PHON	10
Schiff	Lauch	NONE	8
Hammer	Suppe	NONE	8
Schornstein	Schwein	PHON	10
Hut	Kaffee	NONE	6
Schlagzeug	Flugzeug	PHON	9
Otter	Wal	CAT+ASS	9
Flasche	Tasche	PHON	9
Eis	Reis	PHON	7
Hubschrauber	Rakete	CAT+ASS	8
Bauch	Lauch	PHON	9
Pfanne	Schwein	NONE	11
Kamm	Dachs	NONE	9
Fisch	Fisch	IDEN	8
Pedal	Wal	PHON	10
Hut	Kaffee	NONE	7
Horn	Reis	NONE	8
Anzug	Hose	CAT+ASS	6
Elefant	Rakete	NONE	9
Schwein	Schwein	IDEN	12
Kartoffel	Kartoffel	IDEN	8
Hund	Fisch	CAT+ASS	9
Wachs	Dachs	PHON	10
Strassenbahn	Strassenbahn	IDEN	7
Stiefel	Tasche	CAT+ASS	10
Eis	Reis	PHON	9
Anzug	Hose	CAT+ASS	7
Saft	Wein	CAT+ASS	7
Pantoffel	Kartoffel	PHON	9
Ballon	Flugzeug	CAT+ASS	10
