Cue,Target,Condition,Occurence
Schiff,Lauch,NONE,1
Hammer,Suppe,NONE,1
Bein,Wein,PHON,1
Schraube,Traube,PHON,1
Stiefel,Tasche,CAT+ASS,1
Schwein,Schwein,IDEN,1
Zahn,Pferd,NONE,1
Tisch,Fisch,PHON,1
Rose,Hose,PHON,1
Dachs,Dachs,IDEN,1
Eis,Reis,PHON,1
Traube,Traube,IDEN,2
Kaffee,Kaffee,IDEN,1
Schlagzeug,Flugzeug,PHON,1
Schwert,Pferd,PHON,2
Hemd,Knopf,CAT+ASS,1
Hose,Hose,IDEN,2
Schnitzel,Kartoffel,CAT+ASS,1
Reis,Reis,IDEN,2
Bus,Strassenbahn,CAT+ASS,1
Kaffee,Kaffee,IDEN,2
Flugzeug,Flugzeug,IDEN,2
Klee,Tee,PHON,1
Suppe,Suppe,IDEN,2
Tapete,Rakete,PHON,1
Kartoffel,Kartoffel,IDEN,2
Reis,Reis,IDEN,3
Huhn,Strassenbahn,NONE,2
Kaffee,Kaffee,IDEN,3
Knopf,Knopf,IDEN,2
Rose,Hose,PHON,3
Puppe,Suppe,PHON,3
Saft,Wein,CAT+ASS,2
Gurke,Wal,NONE,1
Zahn,Pferd,NONE,3
Schwan,Strassenbahn,PHON,3
Schnee,Kaffee,PHON,4
Apfel,Traube,CAT+ASS,3
Kleid,Schuh,CAT+ASS,1
Topf,Knopf,PHON,3
Stiefel,Tasche,CAT+ASS,2
Hubschrauber,Rakete,CAT+ASS,2
Horn,Reis,NONE,4
Wein,Wein,IDEN,3
Schnee,Kaffee,PHON,5
Baer,Dachs,CAT+ASS,2
Kuh,Schuh,PHON,2
Hemd,Knopf,CAT+ASS,4
Stiefel,Tasche,CAT+ASS,3
Traube,Traube,IDEN,4
Hubschrauber,Rakete,CAT+ASS,3
Zwiebel,Suppe,CAT+ASS,4
Schornstein,Schwein,PHON,2
Schlagzeug,Flugzeug,PHON,3
Schuh,Schuh,IDEN,3
Hemd,Knopf,CAT+ASS,5
Bus,Strassenbahn,CAT+ASS,4
Schwert,Pferd,PHON,4
Apfel,Traube,CAT+ASS,5
Milch,Kaffee,CAT+ASS,6
Rakete,Rakete,IDEN,4
Schwein,Schwein,IDEN,3
Eis,Reis,PHON,5
Schuh,Schuh,IDEN,4
Lauch,Lauch,IDEN,2
Gras,Knopf,NONE,6
Apfel,Traube,CAT+ASS,6
Pferd,Pferd,IDEN,5
Schnee,Kaffee,PHON,7
Ballon,Flugzeug,CAT+ASS,4
Hammer,Suppe,NONE,5
Kuh,Schuh,PHON,5
Dachs,Dachs,IDEN,3
Rose,Hose,PHON,4
Traube,Traube,IDEN,7
Tee,Tee,IDEN,2
Milch,Kaffee,CAT+ASS,8
Affe,Flugzeug,NONE,5
Pfanne,Schwein,NONE,4
Kleid,Schuh,CAT+ASS,6
Fisch,Fisch,IDEN,2
Hubschrauber,Rakete,CAT+ASS,5
Fussball,Traube,NONE,8
Fahrrad,Hose,NONE,5
Zwiebel,Suppe,CAT+ASS,6
Maus,Tee,NONE,3
Schornstein,Schwein,PHON,5
Nest,Schuh,NONE,7
Wachs,Dachs,PHON,4
Tapete,Rakete,PHON,6
Brot,Fisch,NONE,3
Zahn,Pferd,NONE,6
Bus,Strassenbahn,CAT+ASS,5
Maus,Tee,NONE,4
Hammer,Suppe,NONE,7
Kleid,Schuh,CAT+ASS,8
Schwein,Schwein,IDEN,6
Affe,Flugzeug,NONE,6
